{'text': 'the LEF/TCF family One of the target genes for beta catenin/TCF encodes c MYC explaining why constitutive activation of the WNT pathway can lead to cancer particularly in the colon Most colon cancers arise from mutations in the gene encoding [E1] adenomatous polyposis coli [\\E1] APC a protein required for ubiquitin mediated degradation of beta catenin but a small percentage of colon and some other cancers harbour beta catenin stabilizing mutations Recently we discovered that transgenic mice expressing an activated beta catenin are predisposed', 'mention_data': {'kb_id': 'D011125', 'candidates': ['D011125', 'C566778', 'D018256', 'C563924', 'C562730', 'D008949', 'C090876', 'C563250', 'D025601', 'C031511', 'D018262', 'D000238', 'C000671802', 'C407009', 'C062351', 'C111578', 'C061075', 'C000613192', 'C000645531', 'D017188', 'C048567', 'C000623798', 'C000699842', 'D018196', 'D000236', 'D017157', 'C017991', 'C538110', 'C526457', 'C018446', 'C538265', 'C055772', 'C017990', 'C011626', 'C022571', 'C018444', 'C027800', 'C000699812', 'C022570', 'C030812', 'C015651', 'C542391', 'C524259', 'C018775', 'D000235', 'C000691299', 'D044483', 'C000647324', 'C503443', 'C049300', 'C026520', 'C520193', 'C406809', 'C000662092', 'C000662061', 'D000261', 'D062788', 'C000640097', 'C538232', 'C000662013', 'C000647651', 'D018194', 'C000661085', 'C044618']}}
{'text': 'Mutation of the KIT mast/stem cell growth factor receptor protooncogene in human piebaldism [E1] Piebaldism [\\E1] is an autosomal dominant genetic disorder characterized by cogenital patches of skin and hair from which melanocytes are completely absent A similar disorder of mouse dominant white spotting W results from mutations of the c Kit protooncogene which encodes', 'mention_data': {'kb_id': 'D016116', 'candidates': ['D016116', 'D011371', 'D020371', 'C566739', 'C536516', 'C566384', 'C537179', 'D058437', 'C537625', 'D009386', 'C536401', 'C565496', 'C537901', 'D012035', 'C562776', 'C538160', 'C537231', 'C538136', 'C537938', 'D020739', 'C562692', 'C537377', 'C567730', 'C537899', 'D056734', 'C567423', 'C563335', 'D007562', 'D003480', 'C564214', 'C535871', 'D020417', 'D006961', 'C565319', 'C566545', 'C563888', 'D058533', 'C563353', 'C537937', 'C564706', 'D000417', 'C565359', 'C564159', 'C563354', 'C565357', 'C564015', 'C564675', 'C566621', 'D019970', 'C565832', 'D020734', 'D002636', 'D001906', 'D049950', 'D006933', 'D015419', 'D046528', 'C563885', 'C536406', 'D011547', 'C564348', 'C000642402', 'C567467', 'C535917']}}
{'text': 'absent A similar disorder of mouse dominant white spotting W results from mutations of the c Kit protooncogene which encodes and receptor for mast/stem cell growth factor We identified a KIT gene mutation in a proband with classic autosomal dominant [E1] piebaldism [\\E1] This mutation results in a Gly Arg substitution at codon 664 within the tyrosine kinase domain This substitution was not seen in any normal individuals and was completely linked to the piebald phenotype in the probands family Piebaldism in', 'mention_data': {'kb_id': 'D016116', 'candidates': ['D016116', 'C566739', 'D011546', 'D011547', 'C536516', 'C537179', 'C567730', 'C566621', 'D011371', 'C565496', 'D006961', 'C537377', 'C535917', 'C563335', 'C562776', 'D003480', 'C567423', 'D046528', 'C564643', 'C564159', 'C566384', 'C565357', 'C580456', 'D058437', 'C563353', 'D020417', 'C538567', 'C565359', 'D006962', 'C564058', 'C565319', 'C537901', 'D044903', 'C563888', 'D015419', 'D049950', 'C564675', 'C567296', 'C564272', 'C567266', 'C566545', 'C564185', 'C567277', 'D020734', 'C563363', 'C564706', 'C564161', 'C536401', 'C537242', 'D014927', 'C567216', 'D034321', 'C538160', 'C563354', 'C564348', 'C563885', 'C563321', 'C565312', 'C538421', 'C565832', 'C565121', 'D020371', 'C564322', 'C564399']}}
{'text': 'autosomal dominant piebaldism This mutation results in a Gly Arg substitution at codon 664 within the tyrosine kinase domain This substitution was not seen in any normal individuals and was completely linked to the piebald phenotype in the probands family [E1] Piebaldism [\\E1] in this family thus appears to be the human homologue to dominant white spotting W of the mouse', 'mention_data': {'kb_id': 'D016116', 'candidates': ['D016116', 'D046528', 'D011371', 'D011546', 'C536516', 'D011547', 'C562776', 'D006961', 'C538421', 'C564159', 'D058437', 'D000417', 'C564185', 'C537231', 'C535917', 'C110987', 'C094891', 'D020238', 'C564495', 'D050720', 'D038461', 'C537556', 'C000610907', 'C567661', 'C564161', 'C534500', 'D048490', 'D000072379', 'D044903', 'C564058', 'C514944', 'C565496', 'D020928', 'C537242', 'D049950', 'D002598', 'C514943', 'C537609', 'D006962', 'D009224', 'D017696', 'C432137', 'C565312', 'C566403', 'C567423', 'D010381', 'C536423', 'C563335', 'C537042', 'D034321', 'D064127', 'C536401', 'C536870', 'C102455', 'D006656', 'C537901', 'D054882', 'C563363', 'D054462', 'C053277', 'D014927', 'C538567', 'C567360', 'D062965']}}
{'text': 'Identification of a common PEX1 mutation in [E1] Zellweger syndrome [\\E1] The Zellweger spectrum of disease encompassing Zellweger syndrome and the progressively milder phenotypes of neonatal adrenoleukodystrophy and infantile Refsum disease is due to a failure to form functional peroxisomes Cell fusion complementation studies demonstrated that these diseases are genetically', 'mention_data': {'kb_id': 'D015211', 'candidates': ['D015211', 'C535818', 'C531857', 'C538052', 'C536724', 'C537888', 'D015043', 'C537497', 'C537887', 'C580174', 'C563233', 'D054877', 'C562912', 'C538323', 'C536728', 'C536292', 'C536681', 'C535840', 'C567043', 'C567815', 'C537137', 'C536120', 'C567865', 'C537890', 'C536113', 'C536705', 'C536620', 'C536885', 'C537680', 'C535719', 'C536240', 'C567661', 'D009190', 'C537568', 'C537502', 'C565631', 'C537891', 'C564774', 'C536669', 'C565054', 'C564694', 'C537889', 'C537003', 'C535713', 'D016098', 'C537025', 'C538114', 'D009958', 'C536074', 'C535582', 'C537726', 'C536984', 'C537519', 'C537336', 'C535611', 'C535314', 'C538091', 'C537013', 'C537611', 'C536093', 'C535894', 'C563023', 'C535687', 'C536349']}}
{'text': 'Identification of a common PEX1 mutation in Zellweger syndrome The Zellweger spectrum of disease encompassing [E1] Zellweger syndrome [\\E1] and the progressively milder phenotypes of neonatal adrenoleukodystrophy and infantile Refsum disease is due to a failure to form functional peroxisomes Cell fusion complementation studies demonstrated that these diseases are genetically heterogeneous with two thirds of all patients lying', 'mention_data': {'kb_id': 'D015211', 'candidates': ['D015211', 'C535818', 'C538052', 'C536724', 'C531857', 'C537888', 'C580174', 'C538323', 'C537887', 'C563233', 'D054877', 'C536681', 'D015043', 'C537137', 'C562912', 'C537497', 'C535840', 'C536728', 'C536292', 'C567661', 'C536120', 'C536885', 'C536113', 'C535713', 'C536669', 'C536984', 'C537568', 'C567815', 'C567865', 'C536406', 'C535582', 'C567043', 'C535687', 'D009190', 'C536240', 'C536705', 'C535611', 'C537890', 'C537335', 'C537336', 'C537305', 'C536620', 'C565631', 'C564839', 'C537560', 'C537003', 'C535719', 'C564694', 'C536688', 'C565054', 'C535314', 'C537238', 'C537889', 'C564774', 'C537025', 'C537680', 'C537726', 'D016098', 'C537119', 'C536668', 'C537714', 'C537364', 'C537891', 'C535913']}}
{'text': 'group CG1 Molecular genetic and cell biology studies have shown that PEX1 is deficient in many CG1 patients However previous studies have focused on mildly affected patients and there is still no report of two mutant PEX1 alleles in any [E1] Zellweger syndrome [\\E1] patient Furthermore mutations in the PMP70 gene have also been identified in two Zellweger syndrome patients from CG1 raising the possibility that CG1 patients may represent a mixture of PEX1 deficient and PMP70 deficient individuals To address the molecular', 'mention_data': {'kb_id': 'D015211', 'candidates': ['D015211', 'C535818', 'C531857', 'C538052', 'C536724', 'D054877', 'C580174', 'C567815', 'C562912', 'C536728', 'C536120', 'D015043', 'C536885', 'C537497', 'C537888', 'C537887', 'C536292', 'C537137', 'C563233', 'C538323', 'C535840', 'C537568', 'C535713', 'C537611', 'C536681', 'C535687', 'C564694', 'C537560', 'C536669', 'D009190', 'C536113', 'C536240', 'C536406', 'C565631', 'C535913', 'C537238', 'C567865', 'C535611', 'C537336', 'C537680', 'C537714', 'C537890', 'C536705', 'C537519', 'C535719', 'C537618', 'C567043', 'C537726', 'C564774', 'C000715748', 'D016603', 'D000080984', 'C563023', 'C536620', 'C567661', 'C537293', 'C536668', 'C537192', 'C565326', 'D020852', 'C565054', 'C538091', 'C537335', 'C563120']}}
{'text': 'many CG1 patients However previous studies have focused on mildly affected patients and there is still no report of two mutant PEX1 alleles in any Zellweger syndrome patient Furthermore mutations in the PMP70 gene have also been identified in two [E1] Zellweger syndrome [\\E1] patients from CG1 raising the possibility that CG1 patients may represent a mixture of PEX1 deficient and PMP70 deficient individuals To address the molecular basis of disease in Zellweger syndrome patients from CG1 we examined all 24 PEX1 exons', 'mention_data': {'kb_id': 'D015211', 'candidates': ['D015211', 'C535818', 'C538052', 'C531857', 'C536724', 'D054877', 'C537888', 'C537887', 'C536120', 'C580174', 'C562912', 'C536728', 'C538323', 'C536885', 'C563233', 'D015043', 'C535840', 'C537137', 'C537497', 'C536292', 'C535713', 'C537714', 'C564694', 'C536681', 'C536406', 'C567815', 'C537238', 'C537568', 'C535611', 'C535687', 'C567865', 'C537611', 'D009190', 'C535913', 'C536669', 'C536705', 'C537336', 'C535719', 'C537618', 'C537890', 'C536113', 'C537560', 'C536240', 'C567043', 'C536984', 'C565631', 'C567661', 'C537335', 'C564774', 'C537293', 'C537889', 'C537364', 'C535314', 'C537937', 'C536668', 'C567442', 'C537680', 'C537305', 'C538162', 'C537519', 'C536124', 'C536074', 'C537192', 'C537726']}}
{'text': 'in the PMP70 gene have also been identified in two Zellweger syndrome patients from CG1 raising the possibility that CG1 patients may represent a mixture of PEX1 deficient and PMP70 deficient individuals To address the molecular basis of disease in [E1] Zellweger syndrome [\\E1] patients from CG1 we examined all 24 PEX1 exons in four patients including both patients that have mutations in PMP70 PEX1 mutations were detected in all four patients including a 1 bp insertion c 2097insT in exon 13 that', 'mention_data': {'kb_id': 'D015211', 'candidates': ['D015211', 'C535818', 'C531857', 'C538052', 'C536724', 'C536728', 'D015043', 'C562912', 'C537887', 'C580174', 'C536120', 'C537888', 'D054877', 'C535840', 'C537497', 'C538323', 'C536292', 'C536885', 'C535719', 'C564694', 'C537137', 'C535611', 'C536681', 'C563233', 'C567815', 'C536406', 'C537890', 'C567043', 'C567442', 'C535713', 'C098133', 'C567865', 'C536705', 'C535913', 'C537611', 'C536113', 'C537336', 'C535687', 'C564774', 'C536620', 'C536999', 'C537714', 'C536074', 'C535314', 'C536669', 'D016098', 'C537560', 'C565631', 'D005862', 'C537192', 'C537568', 'C537891', 'C563052', 'C537335', 'C563939', 'C537364', 'C537889', 'C085165', 'C537964', 'C538162', 'D009190', 'C536240', 'C567661', 'C537726']}}
{'text': 'four patients including a 1 bp insertion c 2097insT in exon 13 that was present in three of the four patients Subsequent studies demonstrated that this mutation is present in one half of all CG1 patients and correlates with the [E1] Zellweger syndrome [\\E1] phenotype As this mutation leads to a loss of protein function its frequency makes it the most common cause of Zellweger syndrome helping to explain the high percentage of patients that belong to CG1', 'mention_data': {'kb_id': 'D015211', 'candidates': ['D015211', 'C535818', 'C531857', 'C538052', 'C536724', 'D015043', 'D054877', 'C537497', 'C580174', 'C536728', 'C563233', 'C567815', 'C537888', 'C535840', 'C537887', 'C536120', 'C562912', 'C536885', 'C536292', 'C536113', 'C536240', 'C538323', 'C537137', 'D009190', 'C537568', 'C536681', 'C537611', 'C567865', 'C535713', 'C536669', 'C537680', 'C565631', 'C564694', 'C564774', 'C536406', 'D000080984', 'C537890', 'C535687', 'C537336', 'C535611', 'C537238', 'C567043', 'C537560', 'C536536', 'C000715748', 'C535913', 'C537726', 'C536705', 'C565326', 'C565054', 'C563939', 'C563023', 'C565817', 'C535719', 'C538091', 'C536819', 'C567442', 'D016603', 'C536093', 'C535314', 'C563120', 'D020852', 'D007625', 'C536620']}}
{'text': 'studies demonstrated that this mutation is present in one half of all CG1 patients and correlates with the Zellweger syndrome phenotype As this mutation leads to a loss of protein function its frequency makes it the most common cause of [E1] Zellweger syndrome [\\E1] helping to explain the high percentage of patients that belong to CG1', 'mention_data': {'kb_id': 'D015211', 'candidates': ['D015211', 'C535818', 'C531857', 'C538052', 'C536724', 'C537888', 'C536728', 'C537497', 'D054877', 'D015043', 'C535840', 'C537137', 'C537887', 'C563233', 'C562912', 'C580174', 'C567865', 'C536681', 'C538323', 'C536120', 'C537238', 'C536885', 'C536292', 'C564694', 'C535611', 'C537611', 'C535713', 'C536669', 'C535687', 'C536240', 'C536113', 'C536406', 'C535719', 'C537680', 'C536705', 'C536620', 'C536736', 'C537335', 'C535314', 'C537890', 'C536984', 'C567815', 'C538091', 'C537937', 'C537119', 'C536380', 'C564774', 'C537714', 'C537568', 'C563120', 'C537519', 'C537726', 'C538162', 'C537336', 'D009190', 'C567043', 'C537293', 'C548032', 'C565631', 'C537025', 'C537975', 'C537560', 'C536668', 'C537618']}}
{'text': 'Molecular analysis of the genotype phenotype relationship in [E1] factor X deficiency [\\E1] Factor X deficiency is a rare haemorrhagic condition normally inherited as an autosomal recessive trait in which a variable clinical presentation correlates poorly with laboratory phenotype The factor X F10 genes of 14 unrelated individuals with factor X deficiency', 'mention_data': {'kb_id': 'D005171', 'candidates': ['D005171', 'D005170', 'D005166', 'D005175', 'D005168', 'D005600', 'D005177', 'D005173', 'D014802', 'C045069', 'C563242', 'C538465', 'C562875', 'C067850', 'C566443', 'D065427', 'C564730', 'C563602', 'C536392', 'D014813', 'C565166', 'D020151', 'C537005', 'C565165', 'C563491', 'C564200', 'C010515', 'C567307', 'D011488', 'C565027', 'C572568', 'C564071', 'Q000172', 'D038901', 'C565447', 'D015951', 'C566300', 'C536654', 'C536761', 'C566729', 'C563867', 'C535598', 'D014811', 'C564783', 'C538228', 'C566079', 'C562446', 'C565767', 'C566449', 'D053632', 'C566798', 'C000623850', 'D014808', 'C565022', 'C538258', 'C567355', 'C537897', 'C567067', 'C562864', 'C537475', 'D049914', 'C563210', 'C535318', 'C565170']}}
{'text': 'Molecular analysis of the genotype phenotype relationship in factor X deficiency [E1] Factor X deficiency [\\E1] is a rare haemorrhagic condition normally inherited as an autosomal recessive trait in which a variable clinical presentation correlates poorly with laboratory phenotype The factor X F10 genes of 14 unrelated individuals with factor X deficiency 12 familial and', 'mention_data': {'kb_id': 'D005171', 'candidates': ['D005171', 'D005175', 'D005166', 'D005173', 'D005168', 'D005177', 'D005170', 'D014802', 'C563242', 'C538465', 'C562875', 'C566443', 'Q000172', 'D014813', 'C565165', 'D005600', 'C565166', 'D020151', 'D011488', 'C563602', 'C537005', 'C567307', 'C572568', 'C564730', 'C565027', 'C536392', 'C564200', 'D014804', 'C567355', 'C045069', 'C565767', 'D014808', 'C537475', 'D065427', 'D014811', 'D011191', 'C566798', 'C538228', 'C067850', 'D008275', 'C563867', 'C536654', 'C565447', 'C566079', 'D014806', 'C564286', 'D001206', 'C564071', 'C565375', 'C563209', 'C566449', 'C566729', 'C564783', 'C537897', 'C567067', 'C563210', 'C562864', 'C566300', 'C565128', 'C567308', 'C563618', 'C538234', 'C536761', 'D017098']}}
{'text': 'in factor X deficiency Factor X deficiency is a rare haemorrhagic condition normally inherited as an autosomal recessive trait in which a variable clinical presentation correlates poorly with laboratory phenotype The factor X F10 genes of 14 unrelated individuals with [E1] factor X deficiency [\\E1] 12 familial and two sporadic cases were sequenced yielding a total of 13 novel mutations Family studies were performed in order to distinguish the contributions of individual mutant F10 alleles to the clinical and laboratory phenotypes Missense mutations were', 'mention_data': {'kb_id': 'D005171', 'candidates': ['D005171', 'D005175', 'D005168', 'D005170', 'D005166', 'C563242', 'D005177', 'D005173', 'D005600', 'C562875', 'D014802', 'C538465', 'C566443', 'C563602', 'C564200', 'C572568', 'C564071', 'C536392', 'C566300', 'C537005', 'C564730', 'C565447', 'C538228', 'C045069', 'C565027', 'D020151', 'C563867', 'C567307', 'C566449', 'C566729', 'D065427', 'C067850', 'C565022', 'C536258', 'D011488', 'C537897', 'C536654', 'C567067', 'C566309', 'C566798', 'C538234', 'C537475', 'C536582', 'C562864', 'D014813', 'C566618', 'C567640', 'D014811', 'C566640', 'C565166', 'C566814', 'C564286', 'C565165', 'C565170', 'C565375', 'C565767', 'C563641', 'C566176', 'C535598', 'C563210', 'Q000172', 'C563618', 'C566079', 'C580233']}}
{'text': 'Restoration of photoreceptor ultrastructure and function in [E1] retinal degeneration [\\E1] slow mice by gene therapy The gene Prph2 encodes a photoreceptor specific membrane glycoprotein peripherin 2 also known as peripherin/rds which is inserted into the rims of photoreceptor outer segment discs in a complex with rom 1 ref 2', 'mention_data': {'kb_id': 'D012162', 'candidates': ['C563527', 'D012162', 'D015792', 'C564844', 'C565741', 'D058499', 'D012164', 'C566720', 'C565309', 'C564854', 'C566713', 'C564847', 'C564838', 'C536270', 'D008268', 'C537610', 'C566721', 'D012160', 'C563002', 'D031300', 'D012174', 'D012166', 'D041441', 'C565633', 'C536908', 'C565395', 'C563710', 'D015861', 'D003930', 'D015882', 'C565862', 'D019572', 'D058437', 'D004476', 'C564773', 'C566007', 'D012178', 'D012175', 'D012163', 'C535944', 'D012172', 'C564840', 'C538361', 'D015593', 'C567264', 'C537998', 'C564819', 'C563806', 'C536182', 'C563633', 'C565398', 'C564557', 'D001172', 'C536187', 'D015422', 'C565798', 'C564910', 'D000071700', 'C536190', 'C566553', 'C564392', 'C567411', 'D020529', 'C562746']}}
{'text': 'photon capture Mutations in Prph2 have been shown to result in a variety of photoreceptor dystrophies including autosomal dominant retinitis pigmentosa and macular dystrophy A common feature of these diseases is the loss of photoreceptor function also seen in the [E1] retinal degeneration [\\E1] slow rds or Prph2 Rd2/Rd2 mouse which is homozygous for a null mutation in Prph2 It is characterized by a complete failure to develop photoreceptor discs and outer segments downregulation of rhodopsin and apoptotic loss of photoreceptor cells The', 'mention_data': {'kb_id': 'D012162', 'candidates': ['C563527', 'D012162', 'D015792', 'C564844', 'C565741', 'D058499', 'C564854', 'C564847', 'C566720', 'D012164', 'C565309', 'C566713', 'C566721', 'C564838', 'C536270', 'D008268', 'C537610', 'D012160', 'D031300', 'C565633', 'D012174', 'D012172', 'C563710', 'D012163', 'C538361', 'D041441', 'D015593', 'D012166', 'D015882', 'C536908', 'D015861', 'C563002', 'C567264', 'D017948', 'D004476', 'D019572', 'D003930', 'D012175', 'D012168', 'C566007', 'C562746', 'D058437', 'C566717', 'D012178', 'D058456', 'C564840', 'C564392', 'C538018', 'C565398', 'C536183', 'C536182', 'D012171', 'C564773', 'C565395', 'C565862', 'C535944', 'C537998', 'C566553', 'D000071700', 'C525876', 'C562966', 'C536190', 'D020529', 'C537835']}}
{'text': 'Re evaluation of the sublocalization of esterase D and its relation to the [E1] retinoblastoma [\\E1] locus by in situ hybridization In situ hybridization of a cDNA probe for the esterase D gene ESD was carried out on human chromosomes The probe hybridized most strongly to 13q14 2 and 13q14 3 This observation raises doubts', 'mention_data': {'kb_id': 'D012175', 'candidates': ['D012175', 'D009447', 'D000564', 'D005909', 'D005350', 'D041441', 'D003930', 'D012176', 'C000598640', 'D019572', 'C564838', 'D018220', 'C566713', 'D016161', 'C023421', 'D002277', 'D016160', 'C537610', 'D014212', 'C564839', 'D012160', 'D009455', 'D018197', 'C537162', 'D018319', 'C496908', 'D005347', 'D002804', 'C566711', 'D018226', 'C000665096', 'C566720', 'D015792', 'D018325', 'D002280', 'C073343', 'D001984', 'C035166', 'D005354', 'D012178', 'D058437', 'C505677', 'C563527', 'D042262', 'D018316', 'C012532', 'D012164', 'D018214', 'C546472', 'C565741', 'C529924', 'C505678', 'C519080', 'D006099', 'D006528', 'D006222', 'D020339', 'D002283', 'D018233', 'C536707', 'D012595', 'D005910', 'D012172', 'C527749']}}
{'text': 'gene ESD was carried out on human chromosomes The probe hybridized most strongly to 13q14 2 and 13q14 3 This observation raises doubts concerning the most recently published assignment of ESD to 13q14 1 A deletion in an individual with [E1] retinoblastoma [\\E1] was reported to separate the closely linked ESD and retinoblastoma RB1 loci placing ESD proximal to RB1 Quantitative in situ hybridization studies of this deletion do not confirm this interpretation Rather they suggest that ESD is missing from the', 'mention_data': {'kb_id': 'D012175', 'candidates': ['D012175', 'D009447', 'D000564', 'D005909', 'D005350', 'C564838', 'C000598640', 'D003930', 'D041441', 'D012176', 'C566713', 'C564839', 'D014212', 'D019572', 'C023421', 'D016161', 'D016160', 'D018197', 'D002804', 'C496908', 'D018220', 'C566711', 'D009455', 'C537610', 'D002277', 'D018319', 'D012160', 'C505677', 'D012178', 'C537162', 'D018325', 'D015792', 'C566720', 'C563527', 'D058437', 'D006222', 'C035166', 'D042262', 'D005347', 'D005354', 'D012164', 'C519080', 'C505678', 'C565741', 'D012173', 'C000665096', 'C546472', 'D018226', 'C529924', 'C073343', 'C536399', 'D002280', 'D018214', 'D018316', 'D012595', 'D001984', 'D006528', 'C012532', 'D018233', 'D018275', 'D002283', 'D012174', 'D013005', 'D006099']}}
{'text': 'hybridized most strongly to 13q14 2 and 13q14 3 This observation raises doubts concerning the most recently published assignment of ESD to 13q14 1 A deletion in an individual with retinoblastoma was reported to separate the closely linked ESD and [E1] retinoblastoma [\\E1] RB1 loci placing ESD proximal to RB1 Quantitative in situ hybridization studies of this deletion do not confirm this interpretation Rather they suggest that ESD is missing from the deleted chromosome 13 and duplicated on the normal homolog From', 'mention_data': {'kb_id': 'D012175', 'candidates': ['D012175', 'D000564', 'D009447', 'D005909', 'D041441', 'C000598640', 'D016160', 'D012176', 'D005350', 'D003930', 'D016161', 'C564838', 'C496908', 'D019572', 'C566713', 'D014212', 'C023421', 'C564839', 'D002277', 'D018220', 'C566711', 'C505677', 'D002804', 'C519080', 'D018197', 'C537162', 'D009455', 'C035166', 'C537610', 'C073343', 'C546472', 'D018319', 'C505678', 'D012178', 'D058437', 'C529924', 'D042262', 'D012160', 'D015792', 'C038255', 'D005347', 'D018325', 'C012532', 'D001984', 'D012172', 'C000665096', 'C563527', 'D005354', 'C057860', 'C535030', 'D002283', 'D018226', 'D018275', 'C531869', 'D006528', 'C009166', 'C566720', 'C536399', 'D006099', 'C022767', 'D018288', 'D018214', 'C030628', 'D018273']}}
{'text': 'Age of the intronic GAA triplet repeat expansion mutation in [E1] Friedreich ataxia [\\E1] Friedreich ataxia FRDA the most frequently inherited ataxia is due in the vast majority of cases to a large expansion of an intronic GAA repeat Using linkage disequilibrium analysis based on haplotype data of seven polymorphic markers close to', 'mention_data': {'kb_id': 'D005621', 'candidates': ['D005621', 'C564999', 'C538061', 'C564657', 'D001259', 'C565932', 'C566247', 'C565933', 'C531684', 'C563818', 'D020754', 'C564105', 'C537197', 'C564020', 'C564802', 'C564395', 'C537396', 'C535523', 'C567436', 'C565930', 'C565188', 'C537313', 'D002524', 'C536407', 'C535633', 'C567478', 'C580065', 'C535995', 'C535350', 'C537308', 'C566993', 'C567459', 'C564698', 'D001260', 'C562856', 'C537583', 'C563753', 'C565850', 'C563134', 'C566956', 'C535393', 'C566669', 'C564446', 'C537310', 'C565864', 'C566969', 'D020211', 'C536342', 'C537311', 'C535672', 'C537316', 'C537309', 'C537196', 'C564815', 'C563086', 'C563278', 'C537312', 'C565258', 'C565865', 'C565869', 'C566594', 'C565825', 'C563363', 'C566601']}}
{'text': 'Age of the intronic GAA triplet repeat expansion mutation in Friedreich ataxia [E1] Friedreich ataxia [\\E1] FRDA the most frequently inherited ataxia is due in the vast majority of cases to a large expansion of an intronic GAA repeat Using linkage disequilibrium analysis based on haplotype data of seven polymorphic markers close to the frataxin', 'mention_data': {'kb_id': 'D005621', 'candidates': ['D005621', 'C564999', 'C538061', 'C564657', 'D001259', 'D020754', 'C565933', 'C564105', 'C566247', 'C565932', 'C531684', 'C564020', 'C535523', 'C564395', 'C564802', 'C537197', 'C536407', 'C563818', 'C580065', 'C537396', 'C567436', 'C537313', 'C565188', 'C567478', 'C535350', 'D002524', 'C535995', 'C564446', 'C537308', 'C564698', 'C567459', 'C566993', 'C537583', 'C565850', 'C563134', 'C566594', 'C563753', 'C566669', 'C565930', 'C535672', 'D020211', 'C535633', 'C563278', 'C565258', 'C537192', 'C537310', 'C537311', 'C537316', 'C535506', 'C566601', 'C537309', 'C566956', 'C563363', 'C535640', 'C567207', 'C537312', 'C565865', 'C565864', 'C566969', 'C565869', 'C536342', 'C563086', 'C564697', 'C564815']}}
{'text': 'dehydrogenase deficiency causing cardiomyopathy and sudden death in childhood beta Oxidation of long chain fatty acids provides the major source of energy in the heart Defects in enzymes of the beta oxidation pathway cause sudden unexplained death in childhood acute [E1] hepatic encephalopathy [\\E1] or liver failure skeletal myopathy and cardiomyopathy Very long chain acyl CoA dehydrogenase [VLCAD very long chain acyl CoA acceptor 2 3 oxidoreductase EC 1 3 3 99 99 13] catalyzes the first step in beta oxidation We have', 'mention_data': {'kb_id': 'D006501', 'candidates': ['D006501', 'C565594', 'C566878', 'C565593', 'D006504', 'C567528', 'C565596', 'C538525', 'D004678', 'D004660', 'D064089', 'C565722', 'D004679', 'D048550', 'D004673', 'D017700', 'D014386', 'D007968', 'D017094', 'C565597', 'D017237', 'D056784', 'D006849', 'D017114', 'D020343', 'D016643', 'D006503', 'C567142', 'C563516', 'D020766', 'C535888', 'D020803', 'D000081011', 'D009187', 'C567009', 'D020765', 'D004403', 'D054853', 'C580039', 'C563852', 'C536954', 'C566007', 'D004617', 'C564894', 'C566529', 'D016769', 'D004444', 'D047508', 'D006869', 'D002542', 'D020269', 'D000138', 'D004677', 'D020758', 'D004681', 'D022781', 'D006411', 'C565960', 'D025861', 'D002561', 'D011191', 'D019320', 'D002312', 'C567203']}}
{'text': 'cardiomyopathy and sudden death in childhood beta Oxidation of long chain fatty acids provides the major source of energy in the heart Defects in enzymes of the beta oxidation pathway cause sudden unexplained death in childhood acute hepatic encephalopathy or [E1] liver failure [\\E1] skeletal myopathy and cardiomyopathy Very long chain acyl CoA dehydrogenase [VLCAD very long chain acyl CoA acceptor 2 3 oxidoreductase EC 1 3 3 99 99 13] catalyzes the first step in beta oxidation We have isolated the human', 'mention_data': {'kb_id': 'D017093', 'candidates': ['D017093', 'D017114', 'D048550', 'D008103', 'D008107', 'D065290', 'C562889', 'D008109', 'D000090124', 'D006504', 'D009102', 'D008108', 'D008104', 'D004444', 'D016031', 'D058625', 'D008099', 'D056487', 'D006333', 'D008115', 'D020065', 'D006519', 'D056486', 'D047508', 'D006521', 'D008111', 'D014386', 'D008105', 'D017094', 'D006530', 'C565272', 'D007676', 'D005211', 'D006501', 'D065626', 'D001206', 'D019896', 'D019694', 'D000081011', 'D011488', 'D006527', 'D006505', 'D008102', 'D008106', 'D000090463', 'C564071', 'C536582', 'D051436', 'C565485', 'D002310', 'C565448', 'D006509', 'C565447', 'D011164', 'C566729', 'D004066', 'C566566', 'D010382', 'D011171', 'D013832', 'D051437', 'D046290', 'C564421', 'D054144']}}
{'text': 'Serum amyloid A and P protein genes in [E1] familial Mediterranean fever [\\E1] Two recent studies have suggested the involvement of serum amyloid A SAA and P APCS genes in familial Mediterranean fever MEF To test the role of SAA and APCS in MEF and MEF amyloidosis we studied 17 informative families', 'mention_data': {'kb_id': 'D010505', 'candidates': ['D010505', 'C536657', 'C536611', 'C538489', 'C000591739', 'C536846', 'C536228', 'C580087', 'C536961', 'C536004', 'C531622', 'C536231', 'C567176', 'C536847', 'C565569', 'D053098', 'C535648', 'C538572', 'C531673', 'C536845', 'C580075', 'C565025', 'C531598', 'C536848', 'C000649143', 'C531624', 'C566262', 'D000071070', 'C538544', 'C000652649', 'C536388', 'C566172', 'D014007', 'C538249', 'C536911', 'C536387', 'C538553', 'C565578', 'C537180', 'C536609', 'C564336', 'C565024', 'C000625833', 'D065627', 'C531774', 'C564136', 'D016778', 'C536852', 'C000686525', 'D000080345', 'C536391', 'D001742', 'C565312', 'C000649163', 'D056660', 'D014608', 'C564427', 'D028226', 'C535891', 'C536275', 'C538493', 'C085548', 'C000645266', 'C000674033']}}
